Date,Close
2021-08-02,107.56
2021-08-03,108.75
2021-08-04,107.98
2021-08-05,108.62
2021-08-06,108.88
2021-08-09,109.65
2021-08-10,110.15
2021-08-11,111.21
2021-08-12,111.74
2021-08-13,112.35
2021-08-15,112.19
2021-08-16,112.17
2021-08-17,112.10
2021-08-18,111.90
2021-08-19,110.74
2021-08-20,111.06
2021-08-22,111.10
2021-08-23,111.47
2021-08-24,111.45
2021-08-25,111.13
2021-08-26,109.99
2021-08-27,110.41
2021-08-29,110.41
2021-08-30,110.66
2021-08-31,110.44
2021-09-01,110.96
2021-09-02,111.07
2021-09-03,111.01
2021-09-06,112.61
2021-09-07,111.83
2021-09-08,111.58
2021-09-09,111.16
2021-09-10,111.19
2021-09-12,110.86
2021-09-13,112.95
2021-09-14,112.19
2021-09-15,112.63
2021-09-16,112.22
2021-09-17,111.60
2021-09-19,111.45
2021-09-20,109.03
2021-09-21,109.85
2021-09-22,111.47
2021-09-23,112.87
2021-09-24,111.99
2021-09-26,112.53
2021-09-27,113.65
2021-09-28,114.09
2021-09-29,113.66
2021-09-30,113.22
2021-10-01,113.66
2021-10-04,113.61
2021-10-05,114.70
2021-10-06,114.48
2021-10-07,114.30
2021-10-08,114.01
2021-10-09,113.98
2021-10-11,113.13
2021-10-12,113.11
2021-10-13,112.90
2021-10-14,113.90
2021-10-15,113.58
2021-10-17,113.99
2021-10-18,113.50
2021-10-19,113.89
2021-10-20,113.71
2021-10-21,113.85
2021-10-22,114.36
2021-10-25,114.27
2021-10-26,114.06
2021-10-27,113.86
2021-10-28,112.92
2021-10-29,112.58
2021-10-31,113.10
2021-11-01,113.56
2021-11-02,113.05
2021-11-03,113.52
2021-11-04,113.73
2021-11-05,114.06
2021-11-07,114.02
2021-11-08,114.04
2021-11-09,113.89
2021-11-10,114.63
2021-11-11,115.25
2021-11-12,114.84
2021-11-15,115.23
2021-11-16,115.35
2021-11-17,115.31
2021-11-18,114.87
2021-11-19,114.17
2021-11-20,114.06
2021-11-22,114.63
2021-11-23,113.87
2021-11-24,114.88
2021-11-25,115.27
2021-11-26,111.33
2021-11-28,110.69
2021-11-29,112.64
2021-11-30,110.98
2021-12-01,111.15
2021-12-02,112.48
2021-12-03,111.51
2021-12-06,112.47
2021-12-07,113.37
2021-12-08,113.04
2021-12-09,112.89
2021-12-10,112.55
2021-12-13,111.76
2021-12-14,111.66
2021-12-15,111.72
2021-12-16,112.52
2021-12-17,112.51
2021-12-20,111.60
2021-12-21,113.72
2021-12-22,113.86
2021-12-23,114.56
2021-12-27,115.16
2021-12-28,115.35
2021-12-29,115.37
